Name,Type,Background,Background_Hex,Background_Pattern,Hair,Eyes,Skin_Tone,Headwear,Facial_Hair,Accessories,Clothing,Lips,Training_Caption,Review_Status
lad_031_fin,Male,green gradient (dark to bright),"#051e09, #35e151",gradient,black/dark brown,brown,light/pink,grey headband/visor,,,burgundy/red top,,"24x24 pixel art portrait, green gradient (dark to bright) gradient background (#051e09, #35e151), black/dark brown hair, brown eyes, light/pink skin, wearing grey headband/visor, burgundy/red top",REVIEWED
lad_032_shaman-4,Male,grey,#989898,solid,black with streaks,covered by purple visor,light,,grey scruff,purple visor/glasses,green and white and red checkered collar,,"24x24 pixel art portrait, grey background (#989898), black with streaks hair, covered by purple visor eyes, light skin, purple visor/glasses, grey scruff, green and white and red checkered collar",REVIEWED
lad_033_molecule-2,Male,grey/beige,#b8b1a9,solid,brown,grey,light,,,,dark blue/navy collar,,"24x24 pixel art portrait, grey/beige background (#b8b1a9), brown hair, grey eyes, light skin, dark blue/navy collar",REVIEWED
lad_035_JUAN,Male,bright green,#5fce7f,solid,black/brown,brown,light/tan,,black mustache,,white collar with dark blue suit,,"24x24 pixel art portrait, bright green background (#5fce7f), black/brown hair, brown eyes, light/tan skin, black mustache, white collar with dark blue suit",REVIEWED
lad_036_x,Male,bright green/turquoise,"#65e8b6, #45e470",solid,white/cream large fluffy,brown,light,,,,,,"24x24 pixel art portrait, bright green/turquoise background (#65e8b6, #45e470), white/cream large fluffy hair, brown eyes, light skin",REVIEWED
lad_037_aressprout,Male,sage/grey-green,#a9beaf,solid,brown checkered/pixelated large,cyan/teal,light,,,,,,"24x24 pixel art portrait, sage/grey-green background (#a9beaf), brown checkered/pixelated large hair, cyan/teal eyes, light skin",REVIEWED
lad_038_cashking-6,Male,blue-grey,#8498a9,solid,brown/black,white pixelated,light,,,,"colorful checkered collar (red, yellow, orange)",,"24x24 pixel art portrait, blue-grey background (#8498a9), brown/black hair, white pixelated eyes, light skin, colorful checkered collar (red, yellow, orange)",REVIEWED
lad_039_davinci-2,Male,tan/brown,#6d654a,solid,black pixelated large,blue,light/tan,,,pixelated effects around face,,,"24x24 pixel art portrait, tan/brown background (#6d654a), black pixelated large hair, blue eyes, light/tan skin, pixelated effects around face",REVIEWED
lad_040_melzarmagic,Male,tan/brown,#97775a,solid,brown/black,brown,light,grey headband,,,white and grey checkered collar,,"24x24 pixel art portrait, tan/brown background (#97775a), brown/black hair, brown eyes, light skin, wearing grey headband, white and grey checkered collar",REVIEWED
lad_041_Maradona,Male,teal and blue and green striped,"#2c595e, #0dbc5f",striped,brown long curly,brown,light/tan,,,,white and blue checkered collar,,"24x24 pixel art portrait, teal and blue and green striped striped background (#2c595e, #0dbc5f), brown long curly hair, brown eyes, light/tan skin, white and blue checkered collar",REVIEWED
lad_043_jeremey,Male,"gradient striped (blue, grey, orange, peach)","#92a3bd, #b3b3b5",gradient,brown/black,blue,light/tan,,,,grey and brown checkered collar,,"24x24 pixel art portrait, gradient striped (blue, grey, orange, peach) gradient background (#92a3bd, #b3b3b5), brown/black hair, blue eyes, light/tan skin, grey and brown checkered collar",REVIEWED
lad_045_homewithkids3,Male,burgundy/red,#954c4e,solid,cream/tan,grey,light,,brown beard,,"colorful checkered collar (yellow, grey, pink, cyan)",,"24x24 pixel art portrait, burgundy/red background (#954c4e), cream/tan hair, grey eyes, light skin, brown beard, colorful checkered collar (yellow, grey, pink, cyan)",REVIEWED
lad_046_NATE,Male,burgundy/red,#ac4242,solid,dark blue/navy,grey/cyan,light,,grey scruff,,tan/beige checkered collar,,"24x24 pixel art portrait, burgundy/red background (#ac4242), dark blue/navy hair, grey/cyan eyes, light skin, grey scruff, tan/beige checkered collar",REVIEWED
lad_050_nate,Male,grey,#949087,solid,brown,brown,light,,,,blue and grey checkered collar,,"24x24 pixel art portrait, grey background (#949087), brown hair, brown eyes, light skin, blue and grey checkered collar",REVIEWED
lad_050_nate-2,Male,grey,#949087,solid,brown,brown,light,yellow and cyan checkered crown,,,blue and grey checkered collar,,"24x24 pixel art portrait, grey background (#949087), brown hair, brown eyes, light skin, wearing yellow and cyan checkered crown, blue and grey checkered collar",REVIEWED
lad_051_DEVON-2,Male,burgundy/mauve,#b27886,solid,brown long,grey/cyan,light,,brown beard,,,,"24x24 pixel art portrait, burgundy/mauve background (#b27886), brown long hair, grey/cyan eyes, light skin, brown beard",REVIEWED
lad_051_DEVON-4,Male,purple,#400089,solid,brown long,grey/cyan,light,"colorful pixelated crown (purple, yellow, cyan)",brown beard,,,,"24x24 pixel art portrait, purple background (#400089), brown long hair, grey/cyan eyes, light skin, wearing colorful pixelated crown (purple, yellow, cyan), brown beard",REVIEWED
lad_054_sterling,Male,grey,#a2a2a2,solid,tan/brown messy,cyan/teal,light/pink,,brown beard,,,,"24x24 pixel art portrait, grey background (#a2a2a2), tan/brown messy hair, cyan/teal eyes, light/pink skin, brown beard",REVIEWED
lad_054_sterlingglasses,Male,grey,#a2a2a2,solid,tan/brown messy,cyan/teal,light/pink,,brown beard,black glasses,,,"24x24 pixel art portrait, grey background (#a2a2a2), tan/brown messy hair, cyan/teal eyes, light/pink skin, black glasses, brown beard",REVIEWED
lad_054_sterlingglasses3withcrown5,Male,magenta/pink,#e6368f,solid,tan/brown messy with green checkered crown,cyan/teal,light/pink,green checkered crown,brown beard,"dark red/burgundy glasses, purple and yellow pixelated effects",,,"24x24 pixel art portrait, magenta/pink background (#e6368f), tan/brown messy with green checkered crown hair, cyan/teal eyes, light/pink skin, wearing green checkered crown, dark red/burgundy glasses, purple and yellow pixelated effects, brown beard",REVIEWED
lad_055_Luke,Male,cyan/turquoise gradient pixelated,#289ef4,gradient,tan/blonde pixelated wavy,green,light,,,black cigarette holder,grey top,,"24x24 pixel art portrait, cyan/turquoise gradient pixelated gradient background (#289ef4), tan/blonde pixelated wavy hair, green eyes, light skin, black cigarette holder, grey top",REVIEWED
lad_055_Luke10,Male,"gradient pixelated (purple, cyan, green)","#8d61d7, #20cb77",gradient,tan/blonde pixelated wavy,green,light,"colorful pixelated crown (white, purple)",,,grey top,,"24x24 pixel art portrait, gradient pixelated (purple, cyan, green) gradient background (#8d61d7, #20cb77), tan/blonde pixelated wavy hair, green eyes, light skin, wearing colorful pixelated crown (white, purple), grey top",REVIEWED
lad_055_Luke3,Male,purple gradient,"#9b6cde, #7f4dca",gradient,tan/blonde pixelated wavy,green,light,black hat,,,grey top,,"24x24 pixel art portrait, purple gradient gradient background (#9b6cde, #7f4dca), tan/blonde pixelated wavy hair, green eyes, light skin, wearing black hat, grey top",REVIEWED
lad_055_Luke6,Male,"gradient pixelated (blue, cyan, green)","#066cc9, #5be886",gradient,tan/blonde pixelated wavy,purple/magenta pixelated,light,purple pixelated hat/crown,,,grey top,,"24x24 pixel art portrait, gradient pixelated (blue, cyan, green) gradient background (#066cc9, #5be886), tan/blonde pixelated wavy hair, purple/magenta pixelated eyes, light skin, wearing purple pixelated hat/crown, grey top",REVIEWED
lad_055_Luke8,Male,"gradient pixelated (purple, cyan, green)","#8d61d7, #20cb77",gradient,tan/blonde pixelated wavy,green,light,orange pixelated mask/headwear,,,blue top,,"24x24 pixel art portrait, gradient pixelated (purple, cyan, green) gradient background (#8d61d7, #20cb77), tan/blonde pixelated wavy hair, green eyes, light skin, wearing orange pixelated mask/headwear, blue top",REVIEWED
lad_057_Hugh,Male,dark grey/black,#3a3c3b,solid,brown wavy,green,light,,,,dark blue/navy collar,,"24x24 pixel art portrait, dark grey/black background (#3a3c3b), brown wavy hair, green eyes, light skin, dark blue/navy collar",REVIEWED
lad_057_Hugh5,Male,"green, white, red split (Italian flag)","#009246, #ce2b37",split,brown wavy,white pixelated,light,,,,dark blue/navy collar,,"24x24 pixel art portrait, green, white, red split (Italian flag) split background (#009246, #ce2b37), brown wavy hair, white pixelated eyes, light skin, dark blue/navy collar",REVIEWED
lad_058_SAVVA,Male,blue-grey,#809fb7,solid,grey/tan pixelated,green,light,,grey scruff,grey scruff,dark blue/navy collar,,"24x24 pixel art portrait, blue-grey background (#809fb7), grey/tan pixelated hair, green eyes, light skin, grey scruff, grey scruff, dark blue/navy collar",REVIEWED
lad_059_SamAScientist,Male,cyan/turquoise,#72c2cb,solid,dark grey/black spiky pixelated,covered by blue visor,pale grey/white,,,blue visor/glasses,white top,,"24x24 pixel art portrait, cyan/turquoise background (#72c2cb), dark grey/black spiky pixelated hair, covered by blue visor eyes, pale grey/white skin, blue visor/glasses, white top",REVIEWED
lad_060_bhaitradingbot2,Male,grey,#595860,solid,black,brown,dark/brown,,,,tan/yellow top,,"24x24 pixel art portrait, grey background (#595860), black hair, brown eyes, dark/brown skin, tan/yellow top",REVIEWED
lad_061_DOPE7,Male,green,#487355,solid,dark brown/burgundy,white pixelated,light,,,,blue checkered collar,,"24x24 pixel art portrait, green background (#487355), dark brown/burgundy hair, white pixelated eyes, light skin, blue checkered collar",REVIEWED
lad_062_devox2,Male,burgundy/red,#7d4747,solid,black,green/cyan,light,,black beard,,,,"24x24 pixel art portrait, burgundy/red background (#7d4747), black hair, green/cyan eyes, light skin, black beard",REVIEWED
lad_063_kenichi,Male,red,#d53f31,solid,black pixelated spiky,brown,light/tan,,,,white collar,,"24x24 pixel art portrait, red background (#d53f31), black pixelated spiky hair, brown eyes, light/tan skin, white collar",REVIEWED
lad_064_Scott,Male,blue-grey,#90a3a9,solid,brown wavy,brown,light/pink,,,,white and grey checkered collar,,"24x24 pixel art portrait, blue-grey background (#90a3a9), brown wavy hair, brown eyes, light/pink skin, white and grey checkered collar",REVIEWED
lad_064_sensei,Male,light grey/beige,#e6e5e5,solid,grey,brown,light/tan,,,,cyan/blue checkered collar,,"24x24 pixel art portrait, light grey/beige background (#e6e5e5), grey hair, brown eyes, light/tan skin, cyan/blue checkered collar",REVIEWED
lad_066_napoli2,Male,red,#a51f16,solid,grey/dark checkered hat,covered by sunglasses,light,grey/dark checkered fedora/hat,brown mustache,gold earring,"checkered collar (brown, grey, tan)",,"24x24 pixel art portrait, red background (#a51f16), grey/dark checkered hat hair, covered by sunglasses eyes, light skin, wearing grey/dark checkered fedora/hat, gold earring, brown mustache, checkered collar (brown, grey, tan)",REVIEWED
lad_068_mayor,Male,blue,#5678a9,solid,brown afro large,covered by colorful visor,light,,,"colorful pixelated visor/glasses (purple, blue, cyan)",,,"24x24 pixel art portrait, blue background (#5678a9), brown afro large hair, covered by colorful visor eyes, light skin, colorful pixelated visor/glasses (purple, blue, cyan)",REVIEWED
lad_070_IRAsBF2,Male,light grey,#b0c4c3,solid,dark blue/black,brown,light/tan,,,gold earrings,"colorful checkered collar (brown, blue, burgundy)",,"24x24 pixel art portrait, light grey background (#b0c4c3), dark blue/black hair, brown eyes, light/tan skin, gold earrings, colorful checkered collar (brown, blue, burgundy)",REVIEWED
lad_075_mmhm,Male,light purple,#e19dfa,solid,blonde/tan pixelated large wavy,cyan/teal,light/pink,,,green pixelated flower/accessory,tan/brown top,,"24x24 pixel art portrait, light purple background (#e19dfa), blonde/tan pixelated large wavy hair, cyan/teal eyes, light/pink skin, green pixelated flower/accessory, tan/brown top",REVIEWED
lad_078_btoshi,Male,grey,#a5a5a7,solid,black,brown,dark/brown,black hat with grey pixelated effects,,,white collar,,"24x24 pixel art portrait, grey background (#a5a5a7), black hair, brown eyes, dark/brown skin, wearing black hat with grey pixelated effects, white collar",REVIEWED
lad_079_ravish,Male,beige and red split,"#c2bca6, #b13830",split,black wavy,brown,tan/brown,,,,,,"24x24 pixel art portrait, beige and red split split background (#c2bca6, #b13830), black wavy hair, brown eyes, tan/brown skin",REVIEWED
lad_080_fcpo,Male,orange,#dd9543,solid,grey pixelated,blue/cyan,light,,,,purple/lavender top,,"24x24 pixel art portrait, orange background (#dd9543), grey pixelated hair, blue/cyan eyes, light skin, purple/lavender top",REVIEWED
lad_081_iggy2,Male,tan/beige,#dacdbc,solid,grey/blue pixelated with visor,covered by visor,tan/brown,,,"grey pixelated visor/headband, colorful checkered collar (green, cyan, yellow, red, magenta)",,,"24x24 pixel art portrait, tan/beige background (#dacdbc), grey/blue pixelated with visor hair, covered by visor eyes, tan/brown skin, grey pixelated visor/headband, colorful checkered collar (green, cyan, yellow, red, magenta)",REVIEWED
lad_086_Scooby,Male,blue-grey,#9fadb8,solid,brown curly,cyan/teal,light/pink,,,,tan/brown top,,"24x24 pixel art portrait, blue-grey background (#9fadb8), brown curly hair, cyan/teal eyes, light/pink skin, tan/brown top",REVIEWED
lad_087_HEEM,Male,tan/beige,#e4dcc7,solid,brown/black,brown,dark/brown,"colorful checkered hat/cap (grey, blue, cyan, orange)",,,white and grey checkered collar,,"24x24 pixel art portrait, tan/beige background (#e4dcc7), brown/black hair, brown eyes, dark/brown skin, wearing colorful checkered hat/cap (grey, blue, cyan, orange), white and grey checkered collar",REVIEWED
lad_088_Kareem,Male,dark grey,#3e3e3e,solid,grey pixelated,grey,grey/pale,,,,white top,,"24x24 pixel art portrait, dark grey background (#3e3e3e), grey pixelated hair, grey eyes, grey/pale skin, white top",REVIEWED
lad_089_aguda,Male,dark grey/black,#1f1f1f,solid,black,grey,dark grey/black,,,,white top,,"24x24 pixel art portrait, dark grey/black background (#1f1f1f), black hair, grey eyes, dark grey/black skin, white top",REVIEWED
lad_090_drscott,Male,orange,#d97c4c,solid,tan/brown pixelated,green,light,,,,blue top,,"24x24 pixel art portrait, orange background (#d97c4c), tan/brown pixelated hair, green eyes, light skin, blue top",REVIEWED
lad_091_amit,Male,light blue/lavender,#eff4fa,solid,grey/blue pixelated,pink/magenta pixelated,brown/tan,,,,blue top,,"24x24 pixel art portrait, light blue/lavender background (#eff4fa), grey/blue pixelated hair, pink/magenta pixelated eyes, brown/tan skin, blue top",REVIEWED
lad_092_derrick,Male,blue-grey,#beceda,solid,tan/blonde pixelated curly,cyan/teal,light,,,,grey top,,"24x24 pixel art portrait, blue-grey background (#beceda), tan/blonde pixelated curly hair, cyan/teal eyes, light skin, grey top",REVIEWED
lad_093_photogee,Male,dark grey/black,#373737,solid,black/grey,pink/magenta pixelated,dark grey,grey/white pixelated hat,,,,,"24x24 pixel art portrait, dark grey/black background (#373737), black/grey hair, pink/magenta pixelated eyes, dark grey skin, wearing grey/white pixelated hat",REVIEWED
lad_094_storm,Male,cyan/turquoise,#5bc8dd,solid,brown/black,orange/yellow,dark/brown,,,,cyan checkered collar,,"24x24 pixel art portrait, cyan/turquoise background (#5bc8dd), brown/black hair, orange/yellow eyes, dark/brown skin, cyan checkered collar",REVIEWED
lad_095_godfather,Male,dark grey,#52505c,solid,brown/black,blue,brown/tan,,,,white collar,,"24x24 pixel art portrait, dark grey background (#52505c), brown/black hair, blue eyes, brown/tan skin, white collar",REVIEWED
lad_096_apollo,Male,cyan/turquoise,#86bddb,solid,black large afro pixelated,brown,dark/brown,,,"colorful pixelated headband (white, blue, red, orange)",white and red checkered collar,,"24x24 pixel art portrait, cyan/turquoise background (#86bddb), black large afro pixelated hair, brown eyes, dark/brown skin, colorful pixelated headband (white, blue, red, orange), white and red checkered collar",REVIEWED
lad_097_drralph,Male,light beige/white,#ffffff,solid,brown curly,cyan/teal,light,,,,brown top,,"24x24 pixel art portrait, light beige/white background (#ffffff), brown curly hair, cyan/teal eyes, light skin, brown top",REVIEWED
lad_098_Murtaza,Male,sage/grey-green,#70948a,solid,black,grey,tan/brown,,,,dark blue/navy top,,"24x24 pixel art portrait, sage/grey-green background (#70948a), black hair, grey eyes, tan/brown skin, dark blue/navy top",REVIEWED
lad_099_amenshiller,Male,grey,#b3b0b0,solid,black/brown,brown,dark/brown,,,,white top,,"24x24 pixel art portrait, grey background (#b3b0b0), black/brown hair, brown eyes, dark/brown skin, white top",REVIEWED
lad_102_bunya,Male,dark blue/navy,#1d2740,solid,brown wavy,cyan/teal,light,,brown beard,,,,"24x24 pixel art portrait, dark blue/navy background (#1d2740), brown wavy hair, cyan/teal eyes, light skin, brown beard",REVIEWED
lad_102_bunya2,Male,grey,#969c9e,solid,brown wavy,cyan/teal,light,,brown beard,,,,"24x24 pixel art portrait, grey background (#969c9e), brown wavy hair, cyan/teal eyes, light skin, brown beard",REVIEWED
lad_102_bunya3,Male,dark blue/navy,#1d2740,solid,brown wavy,covered by grey visor,light,,brown beard,grey visor/sunglasses,,,"24x24 pixel art portrait, dark blue/navy background (#1d2740), brown wavy hair, covered by grey visor eyes, light skin, grey visor/sunglasses, brown beard",REVIEWED
lad_103_merheb,Male,light grey/beige,#ebe6ea,solid,brown/black,brown,dark/brown,,black beard,yellow/gold visor/headband,tan/brown checkered collar,,"24x24 pixel art portrait, light grey/beige background (#ebe6ea), brown/black hair, brown eyes, dark/brown skin, yellow/gold visor/headband, black beard, tan/brown checkered collar",REVIEWED
lad_103_merheb2,Male,blue,#0083ef,solid,brown/black,brown,dark/brown,,black beard,yellow/gold visor/headband,tan/brown checkered collar,,"24x24 pixel art portrait, blue background (#0083ef), brown/black hair, brown eyes, dark/brown skin, yellow/gold visor/headband, black beard, tan/brown checkered collar",REVIEWED
lad_74_lc,Male,grey,#b3b3b3,solid,black/grey,grey,grey/dark,,,,white top,,"24x24 pixel art portrait, grey background (#b3b3b3), black/grey hair, grey eyes, grey/dark skin, white top",REVIEWED
lady_000_lemon,Female,yellow,#f8e701,solid,brown,blue,light,red and white checkered bandana,,,blue top,orange,"24x24 pixel art portrait, yellow background (#f8e701), brown hair, blue eyes, light skin, wearing red and white checkered bandana, blue top, orange lips",REVIEWED
